Source_Username,Source_Platform(s),Total_Posts,Final_Discord_ID
]PW[ Forever,Forum-Post,22,
Emi,Forum-Post,22,
sourlemon,Forum-Post,20,
K,Forum-Post,20,
ordos234,Forum-Post,20,
Levitas,Forum-Post,19,
{pee-stoner}FoohonClover,Forum-Post,19,
Dangerous,Forum-Post,18,
Naughty Santa,Forum-Post,17,
domi06,"Discord-Archive, Forum-Post",16,232933670590087168
Unknown User,Forum-Post,16,
Valenka,Forum-Post,16,
Humidityold,Forum-Post,16,
Blizzard,Forum-Post,15,
Star99 {Kiwi},Forum-Post,15,
Disposable Heroes,Forum-Post,15,
Rogue ICE,Forum-Post,15,
EternalCalm33,Discord-Archive,15,183266665184624640
SqueakySmit,Forum-Post,14,
[ SA ],Forum-Post,14,
Suicidal Sushi,Forum-Post,13,
Salamandastron,Forum-Post,13,
Bstallion,Forum-Post,13,
DarkSide,Forum-Post,12,
Admetus,Discord-Archive,12,363976051325665280
Random(TPF)(KT),Forum-Post,11,
Nayamek,Discord-Archive,10,609408867205513305
Nightwish,Forum-Post,9,
RockOn,Forum-Post,9,
frosty_mint,Discord-Archive,9,257391313496834048
Hathir,Forum-Post,8,
De-GenerationX,Forum-Post,8,
AdriusAvangion,Forum-Post,8,
The Crow,Forum-Post,8,
twosidedeath,Forum-Post,8,
BUD7777,Forum-Post,7,
Xeno,Forum-Post,7,
Listos,Forum-Post,6,
Skylin,Discord-Archive,6,189155078572212225
DamonTheViking,Forum-Post,5,
Lethal,Forum-Post,5,
lamb,Forum-Post,4,
LordMikeh,Forum-Post,4,
LoM,Forum-Post,4,
Glazed,Forum-Post,4,
LisaMVP,Discord-Archive,4,746540828432007225
Simon,Forum-Post,3,
SLS,Forum-Post,3,
DarkMason,Forum-Post,3,
mkb1,Forum-Post,3,
jente1012,Forum-Post,3,
avogadro,Forum-Post,3,
Helter Skelter,Forum-Post,3,
Izzy,Discord-Archive,3,91442932111921152
Cal,Discord-Archive,3,286519276112838666
Munder,Forum-Post,2,
Hala,Forum-Post,2,
iluvatarar,Forum-Post,2,
V. Kemp,Forum-Post,2,
Faronis,Forum-Post,2,
delex,Forum-Post,2,
..Nemeara..,Forum-Post,2,
shunt,Forum-Post,2,
gorden133,Forum-Post,2,
Dubber,Forum-Post,2,
PW TR4NNY: Humidity,Forum-Post,2,
Caterline,Forum-Post,2,
Schniepel,Discord-Archive,2,331831967723159566
Borat,Forum-Post,1,
Kozak,Forum-Post,1,
Caranthir Linwelin,Forum-Post,1,
